mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20.59457883834839,0.2818109206919126,0.02145977020263672,0.002692598774533156,1.0,0.2,7,200,0.8,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.6379702151130723,0.675193281903296,0.6501020900186436,0.6460186362587345,0.6371917988063176,0.6492952044200128,0.013833619850688865,1,0.9476097292365391,0.9467820875880566,0.9433166063419415,0.9482393246058226,0.9523807413435672,0.9476656978231854,0.002907204132062184
17.329269075393675,0.5030166933668941,0.04211459159851074,0.022431580021576875,0.8,0.2,5,200,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.6494532470090605,0.6742303593201052,0.6455860708215426,0.6429304308554334,0.632203132136666,0.6488806480285616,0.013909238597866603,2,0.9192378750742721,0.9245646295955027,0.9128411626713442,0.9203422986685861,0.923992296232986,0.9201956524485382,0.004207845715613756
23.155273103713988,0.5943365220527621,0.08066425323486329,0.05858521311609359,0.8,0.2,7,200,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.6275805096753299,0.6666027932421492,0.6514243291199558,0.6484384031623501,0.649079365079365,0.64862508005583,0.012443063387908595,3,0.9461157396095521,0.9469673244952715,0.9418403198723982,0.9524053891445989,0.9539891463843287,0.94826358390123,0.00441561911298471
19.4857421875,0.1624479632549637,0.026117706298828126,0.00419207808994504,1.0,0.2,7,200,1.0,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.6282966886135827,0.6658678839817186,0.6415358921031071,0.6442738166192611,0.6584085874012039,0.6476765737437746,0.01319823139694305,4,0.9491936124821083,0.9453668379041243,0.9410986318792278,0.9509996064790096,0.9536133262310368,0.9480544029951015,0.004392707759334636
23.687702894210815,0.6066227446678465,0.061296701431274414,0.02713027204085145,0.8,0.2,7,200,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.6492547679080531,0.6572016387039631,0.6450486230706011,0.6314470633419155,0.6551464194683595,0.6476197024985784,0.009157544598822424,5,0.9471354373932687,0.947954882563109,0.944638341147284,0.9504921196571224,0.9505393527616963,0.948152026704496,0.0022178217496212336
17.977438068389894,0.43123545792082657,0.05676875114440918,0.028021454034144598,1.0,0.2,5,200,1.0,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.633263479176979,0.6758648758648759,0.6429027113237639,0.6277604514070415,0.6550572515535893,0.6469697538652499,0.017168201979401845,6,0.9268479715334038,0.9298241116990827,0.9249681931557646,0.9326767912449719,0.9287166957634253,0.9286067526793298,0.0026226586097439445
29.324073219299315,0.8913248187022185,0.07813129425048829,0.04452650949887291,0.8,0.1,7,200,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.638930801781831,0.6703512402413693,0.6276372182748206,0.6496008092616855,0.6282213995507365,0.6429482938220886,0.015891054878259706,7,0.9025229877247813,0.9102404608248373,0.9010836466788258,0.9027725528146014,0.9102280570273104,0.9053695410140712,0.004013655222952168
18.7417799949646,0.3405732728563187,0.04530000686645508,0.03291918300312331,1.0,0.2,5,200,0.8,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.6435596154858064,0.6577357912332374,0.6440056810976693,0.647534457405023,0.6218335158565547,0.6429338122156582,0.011722009708837746,8,0.9170427094621497,0.9203652204024534,0.9189429383070596,0.9233287372811146,0.926155336198326,0.9211669883302207,0.0032297269072495208
31.73498740196228,0.650672753187511,0.052704477310180665,0.02515643455000921,1.0,0.1,7,200,0.8,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.647017559748941,0.6636920970179628,0.624867083461884,0.6466891564502711,0.6285633387328303,0.6421658470823779,0.014082999225470861,9,0.9061590826948817,0.9092025685855614,0.9000323055343834,0.9067775975786382,0.9134042454000192,0.9071151599586967,0.0043613009378989835
16.016493463516234,0.5782290907402537,0.02640562057495117,0.022626992366397404,1.0,0.2,7,100,0.8,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.6303259317457645,0.6558404200553997,0.642787644607325,0.6231627741240096,0.6526048026048027,0.6409443146274603,0.012571332784576578,10,0.9045246952903523,0.9059737913312954,0.9035218828732431,0.9022366091120505,0.9145803684983743,0.9061674694210631,0.004380956057368973
