fitur_index,chi2_score,p_value
1836,50.68974410352465,5.6962559221457233e-11
616,41.27230557209755,5.724882402946556e-09
3335,38.798694638251824,1.914735830308079e-08
2047,36.67289499612659,5.3961845997924056e-08
198,35.764810454868574,8.396698513768204e-08
1882,32.726823639162404,3.6775788472117397e-07
3036,30.711356295105443,9.777114501129658e-07
2174,30.015819727485656,1.3695230350552994e-06
3004,28.82030945616561,2.442821975275622e-06
2210,27.445973957207784,4.7467826344450814e-06
102,27.368522785228066,4.927703031512341e-06
535,25.4060608805967,1.2698012334408278e-05
222,25.24010891210455,1.3754652973868683e-05
2911,23.943006175714512,2.5673807901054663e-05
1083,22.2518733965157,5.781430566501446e-05
2163,22.186240279500492,5.966190037784685e-05
3634,18.312649463542655,0.0003791371711136493
233,18.289990404495445,0.00038324217975870385
2343,18.130435235227637,0.0004134266217890607
3527,18.002148238983924,0.0004394011571129795
1838,17.79684902078413,0.0004843853374245021
566,17.087888329985027,0.0006779278582213867
1180,17.03093519609994,0.0006964639608242477
1444,16.6972488348651,0.0008156378373621235
2481,16.6560934726664,0.0008316741591796405
1727,15.874300608504203,0.001203295356670919
3092,15.544180543419623,0.0014060027040990303
2796,15.382329935616726,0.0015174255711996995
3024,15.248250350927101,0.0016163338616130255
2986,15.152184432462072,0.0016911086359731222
1603,15.017717247435021,0.0018015707792566908
88,14.983990890062639,0.0018303810845508974
2759,14.688515188309113,0.0021031421694420412
126,14.439369845063142,0.002364191919209457
2725,13.826506560867685,0.0031510755714809126
2015,13.685193034822992,0.003366536935898351
1688,13.457798779837358,0.0037442732011968545
1300,13.214927346275049,0.0041941318435841715
2744,12.987389953045367,0.00466395489413351
3414,12.96914722260111,0.004703803610311475
2861,12.852813207625413,0.00496596216301118
757,12.791198187956748,0.005110614638535806
1282,12.77456654735446,0.00515036974895447
3117,12.77456654735446,0.00515036974895447
3413,12.722603339272961,0.005276560402509571
3444,12.606661806759346,0.0055692492719111265
2852,12.541140927580663,0.005741695232512168
2237,12.502366647286335,0.0058462220616711455
3656,12.372895844579519,0.006209063251205278
3370,12.166834706053725,0.00683296780667111
254,12.069932479855572,0.00714740056459991
537,11.972942262723004,0.0074764259606656235
3654,11.972942262723004,0.0074764259606656235
2589,11.972942262723004,0.0074764259606656235
1807,11.948907767107881,0.007560245979484495
1847,11.9313439678188,0.007622085874999426
1199,11.873274681488,0.007830118344118205
2696,11.873274681488,0.007830118344118205
2012,11.462582214878886,0.009470298841270479
870,11.462582214878886,0.009470298841270479
66,11.261382025226258,0.010393278012876447
1014,11.261382025226258,0.010393278012876447
2602,11.25572656799571,0.010420464632866649
1583,11.142813993412862,0.010978168315264023
835,11.02924509028729,0.011568782850687265
1651,10.961011057538233,0.011938582575447085
219,10.907227109728753,0.0122382582104738
2182,10.907227109728753,0.0122382582104738
2697,10.907227109728753,0.0122382582104738
273,10.900829902759046,0.012274392074078736
2078,10.791983207573377,0.01290555902877512
2677,10.695737149692503,0.013490224352482469
1681,10.653220434286006,0.013756735921884417
1889,10.629214456085222,0.013909498232095729
1432,10.55621310955981,0.014384379813091134
1365,10.55621310955981,0.014384379813091134
31,10.55621310955981,0.014384379813091134
1061,10.344465356322058,0.01585396202550115
3382,10.272745398523242,0.01638445955871943
3456,10.272745398523242,0.01638445955871943
1710,10.272745398523242,0.01638445955871943
2489,10.22659969793192,0.016734982020012473
675,10.221004838441104,0.016777978720404825
996,9.994265138300909,0.01861494684494088
633,9.879724242296275,0.019616684489020278
2871,9.850463722107948,0.019880966638415362
2717,9.788303061227381,0.020454065472035165
2895,9.69239157074446,0.021370309196353354
3017,9.682397970826864,0.021468065513355256
2249,9.65598755288825,0.02172852752316089
848,9.589361213866795,0.022399465553414984
925,9.589361213866795,0.022399465553414984
3303,9.556399012309933,0.022738877337580423
1154,9.511456074915232,0.0232097988192967
2978,9.511456074915232,0.0232097988192967
2222,9.443799450028148,0.023936817560527762
2303,9.384285425871209,0.024594773111511453
151,9.384285425871209,0.024594773111511453
2606,9.384285425871209,0.024594773111511453
200,9.351770278740204,0.024961702233704097
3686,9.29668337922855,0.025595638074005677
2424,9.278946326637277,0.02580309408585878
2145,9.185352717795714,0.026925377268757017
1816,9.152242885235008,0.027333741712562986
3521,8.967839455488217,0.029721548569707983
3061,8.859061535299057,0.0312246331053861
2326,8.841135705262108,0.03147936891732085
108,8.822405065563071,0.0317477137247239
426,8.782962177694678,0.03232013162202329
3248,8.705640385134778,0.03347171170588407
845,8.705640385134778,0.03347171170588407
3106,8.705640385134778,0.03347171170588407
1332,8.705640385134778,0.03347171170588407
3446,8.689224999736563,0.03372130568090261
423,8.64971824211564,0.03432948446134235
2769,8.518728986699681,0.03642366567081994
1796,8.500475354713501,0.03672522896866476
1129,8.414046927818891,0.03818651741447901
1744,8.39807514959831,0.03846270713324003
1874,8.18694003991994,0.04230215167927583
2001,8.136437325203843,0.04327452976087606
809,8.066245794655373,0.044662262161559906
2081,7.83445956319445,0.049559732195059415
3472,7.803188693668453,0.05025923245215432
3005,7.7505906469835955,0.051457521543575205
1039,7.713999556947846,0.0523074795410986
1736,7.678656423766003,0.05314139993596109
3225,7.624016258705255,0.05445612179614617
1132,7.5306171053487185,0.05677696431701003
417,7.505788405323319,0.05740990946727761
3056,7.425251667322114,0.0595104835885796
3234,7.422014217495182,0.05959646409129242
2927,7.361453222414229,0.06122723682228554
504,7.332756502888511,0.06201500699021305
395,7.138579095434826,0.06760952828674763
550,7.115573098005632,0.06830388652974545
617,7.087929140756092,0.06914735675439884
1474,7.067373484224324,0.06978107305441998
1158,7.059479087411959,0.07002594182101522
2385,6.973615315398326,0.07274351380632774
2487,6.962695867033261,0.07309633470094913
3361,6.9002788704094815,0.07514506582787667
2200,6.89241123105724,0.07540721101800689
3633,6.834638905206346,0.0773593843558746
2987,6.820023851665782,0.07786091844645023
1781,6.820023851665782,0.07786091844645023
315,6.801386196538037,0.07850504713706447
2538,6.728022539158644,0.08109084861267253
1333,6.694553961041355,0.08229759495767207
1524,6.683618815856839,0.08269561206137997
2588,6.591129658105549,0.0861370322260316
1750,6.5669338560719215,0.08705984642385442
1357,6.549831589521132,0.08771785005576435
3387,6.540601765042744,0.08807495021012345
9,6.47459447460631,0.09066983777091131
3319,6.473463714908391,0.09071492464833515
995,6.402077579843594,0.09360535751346233
788,6.3972035615148695,0.09380590203089899
3203,6.378268942663739,0.09458890226584195
2525,6.3489884848253775,0.09581210513635746
2040,6.342356607595407,0.09609125679872352
1837,6.289977180942029,0.09832363390789511
381,6.288519387498063,0.09838647048537714
2655,6.280809160889618,0.09871945260896997
2660,6.277871531263921,0.098846604467091
1187,6.265443966798748,0.09938625740703856
2488,6.2052544817293445,0.10204014738830157
3314,6.1941094397423555,0.10253895493301987
1467,6.166271530617056,0.10379509646852134
3491,6.165122097460713,0.10384727848062798
1229,6.15784026886649,0.10417844360763742
3245,6.138029418573937,0.10508453472319632
3445,6.0706155413373475,0.1082247150833486
1173,6.064388853235773,0.10851924600769584
2904,6.054473151964478,0.10898985582690054
993,6.008080214473267,0.11121776618635221
1408,6.005597306482332,0.11133822129770259
2887,5.993863739218862,0.11190914947017351
1361,5.975203762528092,0.11282286779619556
2069,5.94100493292177,0.114516007551344
3589,5.900054459487577,0.1165753444134471
3490,5.899769927142367,0.1165897760249434
931,5.879716458888803,0.11761120319243022
2954,5.877319619301081,0.11773385642704472
630,5.8712630695060835,0.11804433172017229
3517,5.866781172589088,0.11827458875052983
3574,5.857440195027646,0.11875585841634649
2350,5.852980793364834,0.1189862757602932
2715,5.7506570385165,0.1243919426384994
2261,5.709954497940065,0.1266065923555441
2793,5.7000999012784055,0.1271484025036515
1456,5.6668628267030545,0.12899210508834733
1578,5.626697362620394,0.13125406581011162
2821,5.6126134919882515,0.1320561035696146
3405,5.611335304516679,0.13212912287720888
269,5.603141452643754,0.13259812685552655
3311,5.60005156348706,0.13277539784842882
1924,5.583726407972194,0.1337157361679124
3552,5.556971726887467,0.13527050952574807
1528,5.54799592644925,0.1357959464430195
1465,5.536752963112793,0.1364568343723883
3190,5.5304283961822795,0.13682994750498176
2473,5.500175809855607,0.13862810238464487
18,5.448853591143905,0.1417299446139611
2573,5.445204643526968,0.14195296791257217
2129,5.442382806777987,0.14212566619368988
3358,5.421384844070073,0.1434170194711383
2456,5.334058872856411,0.14890756717420123
582,5.324855888722315,0.14949763712082628
3758,5.225300514806967,0.1560236326678113
1721,5.2104676550522,0.1570186568015248
332,5.2044409432217265,0.15742465021423885
3173,5.186214763577596,0.15865849903770146
83,5.178427072775824,0.15918847282148507
778,5.1684732907173085,0.15986828376889922
3265,5.1684732907173085,0.15986828376889922
531,5.162579852647273,0.16027207449224337
2131,5.161915889542599,0.16031762629387997
3372,5.161611172682459,0.16033853575758172
564,5.159551921124438,0.1604799075479436
340,5.110433276100771,0.16388699380849078
702,5.102857745047647,0.16441848634352854
2170,5.100635822974793,0.16457468169811823
2533,5.097066782206659,0.16482586819459755
2848,5.038681569399306,0.1689865038376716
1620,5.0329707460175666,0.1693987232943558
2018,5.012221526148468,0.17090440845140764
518,5.01009704079156,0.17105928066672582
2599,5.001275879851492,0.17170374194242324
1977,4.996383076455708,0.17206218487641747
1406,4.989031208611248,0.17260209734809828
2097,4.983946988904741,0.1729764057089139
1997,4.9625205009469635,0.1745622394876911
1888,4.954068396628145,0.1751915446460715
677,4.939342804247626,0.17629302801434185
760,4.927364904651533,0.17719376510981077
1723,4.911655550260249,0.17838164322328134
2708,4.88699422433275,0.18026148475503423
2536,4.885522325259332,0.18037426649996727
1568,4.880727241191749,0.1807421397301956
1617,4.876917706856673,0.18103490304952938
1842,4.876917706856673,0.18103490304952938
389,4.876917706856673,0.18103490304952938
3761,4.87597080604723,0.18110774134464214
1294,4.8552151104362595,0.18271123123060543
2594,4.848521367020251,0.18323118404705127
