fitur_index,chi2_score,p_value
2183,44.280253429707514,2.4247397889026203e-10
735,42.77548187038731,5.145435416419159e-10
2428,41.64233605523718,9.06737586810713e-10
231,33.55024089189231,5.183913629868647e-08
3996,32.19461079955781,1.0210078739791844e-07
2621,32.020975259018456,1.1136111481395573e-07
115,31.737780712482852,1.2830054002653593e-07
4184,29.128924270142427,4.728620523500042e-07
2661,29.053656324505724,4.909968315376463e-07
3653,28.406145416866586,6.787094508298717e-07
2242,26.93689917564005,1.414902989580004e-06
260,24.70141570275094,4.3266895287514e-06
3484,21.866926967630583,1.7850777668671328e-05
893,21.749256424858494,1.893254399026743e-05
656,21.37566079024434,2.2820977136994133e-05
1325,20.949582974535573,2.823942554978035e-05
281,16.352861135234807,0.0002812038891382875
3637,15.978036600773374,0.0003391668799784682
2975,15.866211290843356,0.0003586707771856004
885,15.288095601886273,0.0004788860880002708
1555,14.89400531139491,0.0005831870073657351
970,14.762231701026383,0.0006229054287161193
336,14.401724408097596,0.0007459423764945686
4108,13.797654257843252,0.0010089681248707314
3550,13.761857332350381,0.0010271896857859824
3726,13.613779355633174,0.0011061279694631072
4025,13.583503721438381,0.0011229997108349941
2195,13.490340429179895,0.0011765483965663237
3363,13.222986525941195,0.0013448224756947554
96,13.203105423316053,0.0013582574172531987
2392,13.146323897953943,0.0013973720003935906
3323,13.059277459210161,0.001459533040629889
537,13.019614473853235,0.0014887666746414602
1373,12.820799279453999,0.0016443672162751665
540,12.30215566809683,0.0021311834695600424
313,11.912725150770816,0.002589313295274379
3279,11.550230764008866,0.003103839510763607
2148,11.387487368523479,0.0033669644936283128
2467,11.23035779122462,0.0036421580737489244
3431,11.224476691494814,0.003652883783193752
2908,10.767567799708742,0.004590419338857956
3691,10.324095953695707,0.005729952850359738
4038,10.18536155747855,0.006141533706154377
2082,10.026329757775907,0.006649824079412661
4392,10.017187308250335,0.006680291503580384
3105,9.968172491816054,0.006846030758915133
1909,9.96276021132382,0.006864582168314489
1067,9.751368611700205,0.007629871266472168
3418,9.706694484062385,0.007802217880652513
3095,9.415356838222966,0.009025707187462383
4105,9.06110388988768,0.010774727374921425
4157,8.975897528765707,0.011243683615775702
1403,8.920387567161672,0.011560122908389113
18,8.859555714743024,0.011917136682838647
3962,8.658601740273387,0.013176756534540474
1977,8.52325845116199,0.014099312726590329
3953,8.40819439425577,0.014934262680031412
2075,8.213081950017354,0.016464627700018813
2590,8.201347774229172,0.016561511051532175
1429,8.191320277642554,0.016644754806539264
3892,8.159946096081564,0.01690792134817095
4499,8.03347873113695,0.01801159853454391
2983,7.9741737196653215,0.018553684954240687
4283,7.971135288385228,0.018581893424552853
3537,7.870552319098927,0.01954030234120347
4424,7.848283762873658,0.019759085236432133
742,7.756856370140817,0.020683309980399262
1280,7.726994912585302,0.020994443819444198
3680,7.707931246494489,0.021195516124251565
2376,7.621183624704528,0.02213507526899507
1551,7.532658954586462,0.023136831886321037
2686,7.510544978873147,0.02339407510227757
505,7.49388662802404,0.023589742199285765
2905,7.286222239479936,0.026170796697588754
1123,7.2693772969485755,0.026392150344608997
1479,7.256676353697253,0.026560286252613908
463,7.238181973244557,0.02680703337254883
4244,7.226481980235173,0.026964314021157752
2946,7.215188244431834,0.027117008657966932
2421,7.160356306490876,0.027870732551475253
2136,7.05346297371422,0.029400856075206944
3017,7.024443162812139,0.02983056973008455
1705,7.012251325308648,0.030012969842775638
3225,6.867975108268919,0.03225805323712091
2649,6.856228657016269,0.03244806952008594
1661,6.789931407190682,0.03354170451229316
3443,6.785968332700298,0.0336082345431494
1212,6.71693188480817,0.03478858572528723
3210,6.652319981092077,0.03593081516431932
3335,6.5706082394789735,0.03742920040366467
2645,6.546412707245985,0.03788476018779249
1428,6.54427651363787,0.0379252463968178
1436,6.424317545110389,0.040269586492188404
1878,6.300825863905789,0.042834435507522514
4156,6.235282439428464,0.0442614484164871
4449,6.21895282725895,0.0446243139071831
2314,6.144560761290575,0.0463154175608255
2724,6.110285968721721,0.04711598343989449
3970,6.0975743425249584,0.04741639750109524
638,6.084994431636266,0.047715584478680476
3360,6.044812772548873,0.04868392496318416
3387,6.0246366758601475,0.04917753635341395
892,5.962470895942165,0.050730120708752116
3156,5.934056802657068,0.05145598991962147
3518,5.923681924273199,0.05172360826521422
1979,5.893203264384146,0.05251787809597475
669,5.871678328779761,0.053086152600759606
3459,5.861779641398051,0.05334954548849696
1751,5.8221753136838625,0.054416511179522904
3130,5.798459844751893,0.055065608526087294
4127,5.701434235974272,0.05780285454178912
2231,5.689420783133614,0.058151105351911155
1716,5.630426076498974,0.059891958102995926
1546,5.6224010162864015,0.060132759175702905
4041,5.6124545078925205,0.06043255954645336
1882,5.591251948660819,0.06107662996129613
4378,5.585737960524997,0.06124525020348404
3551,5.57004965307817,0.06172755653034072
1246,5.509607687391948,0.0636214982028043
4236,5.421775892780705,0.06647775182033913
866,5.402294048761903,0.06712847057117258
469,5.3900347062651175,0.06754120971248975
3635,5.365159067663682,0.06838652109194224
2290,5.3484689452511915,0.06895959865404404
1376,5.267809523030611,0.0717975618148274
1305,5.229195575810005,0.07319722358469728
2814,5.217392905903328,0.07363046200391775
449,5.214305332415716,0.0737442195211803
4059,5.199786491858508,0.07428150764439907
2266,5.1874194812838414,0.07474225077539243
3984,5.184285892556655,0.07485944830086559
2169,5.183323964261088,0.07489546167149697
3835,5.163585746037405,0.07563827256650466
4202,5.159471244661553,0.07579403962578307
3870,5.138694602183925,0.0765855163970615
1854,5.117170968724444,0.0774141665817777
4507,5.050153775157499,0.08005215753352589
2966,4.9885650989197385,0.08255565975235028
3857,4.970904966828984,0.08328785960946518
2342,4.911582132172342,0.08579529883809385
1744,4.881488374405558,0.08709601160122972
2443,4.855604163855499,0.0882305431297033
139,4.853647550269702,0.08831690190518884
1739,4.852514759302953,0.0883669383684093
2473,4.760574011194877,0.09252401878798493
2243,4.7407281127627865,0.09344670021719773
1881,4.7407281127627865,0.09344670021719773
3737,4.6967512704314105,0.0955242024109868
1588,4.675788265564513,0.09653070518698391
3981,4.636297302443472,0.09845569280696506
259,4.625511432741549,0.09898809225139164
3270,4.617782360037334,0.09937137546125542
90,4.57294417938324,0.1016243517791332
1192,4.5630623606102105,0.10212771099484952
2839,4.557314341308839,0.10242164921015917
1532,4.523532563373364,0.10416633508251821
573,4.485364017834102,0.10617336426629635
2945,4.44103883418066,0.10855271004618153
3429,4.437877483178115,0.10872443233840398
4081,4.41033692023316,0.11023195405244099
2247,4.409123680882462,0.11029884321070989
4478,4.38250201926007,0.11177682722679828
3920,4.375971013612162,0.11214243138758455
3307,4.3749923606596255,0.11219731907628
16,4.368981376464559,0.1125350344783996
3106,4.368981376464559,0.1125350344783996
1578,4.366604911601549,0.11266883173142271
1019,4.34376138845126,0.11396308552322032
3318,4.328772038503221,0.11482041048120446
1682,4.316049034385732,0.11555316901016416
2455,4.309968643843969,0.11590500776638812
451,4.306396591692921,0.11611220210471093
2018,4.292197430556211,0.11693948323819577
2704,4.269303304981712,0.11828578776024927
4295,4.249122343170393,0.11948539034816756
3564,4.193019141989829,0.1228846005397946
1869,4.16639385651032,0.12453145700876632
340,4.1307705115571025,0.12676944249883243
4504,4.123588879858793,0.1272254664812214
2522,4.1028730020165085,0.1285501085299239
4203,4.098651836913586,0.12882171066451645
4298,4.08572522017945,0.12965702163322163
2350,4.062586437589138,0.1311657853605606
3181,4.050114170086025,0.1319863085286747
3980,4.013601278723111,0.13441803924034793
4043,3.9931026765249555,0.13580281456497628
3477,3.9816993451461586,0.13657932842087084
1867,3.979784763945065,0.1367101371291811
644,3.961832630558446,0.13794278030524548
